 3.50  5000. -5.0  2.0 -0.2340  2.7180 -2.9933  1.1550 Kp L ATLAS
 4.00  5000. -5.0  2.0  0.0160  2.0958 -2.3563  0.9095 Kp L ATLAS
 4.50  5000. -5.0  2.0  0.4178  1.2520 -1.6591  0.6884 Kp L ATLAS
 5.00  5000. -5.0  2.0  0.7849  0.2735 -0.6527  0.3052 Kp L ATLAS
 0.00  5250. -5.0  2.0 -0.0827  1.4575 -1.1735  0.4412 Kp L ATLAS
 0.50  5250. -5.0  2.0 -0.1267  1.6549 -1.4300  0.5419 Kp L ATLAS
 1.00  5250. -5.0  2.0 -0.1858  1.9402 -1.8124  0.6949 Kp L ATLAS
 1.50  5250. -5.0  2.0 -0.2518  2.2646 -2.2463  0.8666 Kp L ATLAS
 2.00  5250. -5.0  2.0 -0.3269  2.6115 -2.6977  1.0416 Kp L ATLAS
 2.50  5250. -5.0  2.0 -0.3604  2.8114 -2.9625  1.1384 Kp L ATLAS
 3.00  5250. -5.0  2.0 -0.3561  2.8878 -3.0809  1.1775 Kp L ATLAS
 3.50  5250. -5.0  2.0 -0.2831  2.7969 -3.0494  1.1718 Kp L ATLAS
 4.00  5250. -5.0  2.0 -0.1630  2.4935 -2.7240  1.0408 Kp L ATLAS
 4.50  5250. -5.0  2.0  0.0801  1.9885 -2.3070  0.9057 Kp L ATLAS
 5.00  5250. -5.0  2.0  0.4497  1.2732 -1.7951  0.7693 Kp L ATLAS
 0.00  5500. -5.0  2.0 -0.1148  1.6738 -1.4798  0.5574 Kp L ATLAS
 0.50  5500. -5.0  2.0 -0.1231  1.7669 -1.6310  0.6257 Kp L ATLAS
 1.00  5500. -5.0  2.0 -0.1629  1.9603 -1.8931  0.7326 Kp L ATLAS
 1.50  5500. -5.0  2.0 -0.2109  2.1926 -2.2032  0.8556 Kp L ATLAS
 2.00  5500. -5.0  2.0 -0.2720  2.4426 -2.5072  0.9659 Kp L ATLAS
 2.50  5500. -5.0  2.0 -0.3171  2.6472 -2.7590  1.0547 Kp L ATLAS
 3.00  5500. -5.0  2.0 -0.3317  2.7486 -2.8879  1.0951 Kp L ATLAS
 3.50  5500. -5.0  2.0 -0.3178  2.7600 -2.9137  1.0967 Kp L ATLAS
 4.00  5500. -5.0  2.0 -0.2425  2.6488 -2.8619  1.0873 Kp L ATLAS
 4.50  5500. -5.0  2.0 -0.0837  2.3478 -2.6471  1.0289 Kp L ATLAS
 5.00  5500. -5.0  2.0  0.1046  1.9955 -2.3984  0.9597 Kp L ATLAS
 0.00  5750. -5.0  2.0  0.1748  0.3179  0.3507 -0.1776 Kp L ATLAS
 0.50  5750. -5.0  2.0 -0.1741  1.9241 -1.7739  0.6529 Kp L ATLAS
 1.00  5750. -5.0  2.0 -0.1450  1.9920 -1.9809  0.7686 Kp L ATLAS
 1.50  5750. -5.0  2.0 -0.1824  2.1466 -2.1760  0.8442 Kp L ATLAS
 2.00  5750. -5.0  2.0 -0.2366  2.3515 -2.4211  0.9339 Kp L ATLAS
 2.50  5750. -5.0  2.0 -0.2791  2.5084 -2.5949  0.9885 Kp L ATLAS
 3.00  5750. -5.0  2.0 -0.3058  2.6093 -2.6990  1.0147 Kp L ATLAS
 3.50  5750. -5.0  2.0 -0.3121  2.6604 -2.7573  1.0261 Kp L ATLAS
 4.00  5750. -5.0  2.0 -0.2872  2.6390 -2.7573  1.0238 Kp L ATLAS
 4.50  5750. -5.0  2.0 -0.2208  2.5725 -2.7777  1.0499 Kp L ATLAS
 5.00  5750. -5.0  2.0 -0.0988  2.3794 -2.6830  1.0365 Kp L ATLAS
 0.00  6000. -5.0  2.0  0.1885  0.2901  0.4079 -0.2227 Kp L ATLAS
 0.50  6000. -5.0  2.0  0.1851  0.2987  0.4025 -0.2227 Kp L ATLAS
 1.00  6000. -5.0  2.0 -0.0633  1.6398 -1.4935  0.5542 Kp L ATLAS
 1.50  6000. -5.0  2.0 -0.1705  2.1427 -2.1888  0.8442 Kp L ATLAS
 2.00  6000. -5.0  2.0 -0.2167  2.3060 -2.3834  0.9173 Kp L ATLAS
 2.50  6000. -5.0  2.0 -0.2520  2.4101 -2.4824  0.9425 Kp L ATLAS
 3.00  6000. -5.0  2.0 -0.2827  2.5022 -2.5675  0.9613 Kp L ATLAS
 3.50  6000. -5.0  2.0 -0.3175  2.6158 -2.6824  0.9920 Kp L ATLAS
 4.00  6000. -5.0  2.0 -0.3092  2.5898 -2.6340  0.9602 Kp L ATLAS
 4.50  6000. -5.0  2.0 -0.2613  2.5282 -2.6186  0.9619 Kp L ATLAS
 5.00  6000. -5.0  2.0 -0.2005  2.4824 -2.6635  0.9965 Kp L ATLAS
 0.50  6250. -5.0  2.0  0.1900  0.3030  0.4190 -0.2513 Kp L ATLAS
 1.00  6250. -5.0  2.0  0.1973  0.2794  0.4431 -0.2597 Kp L ATLAS
 1.50  6250. -5.0  2.0 -0.0951  1.8150 -1.7361  0.6444 Kp L ATLAS
 2.00  6250. -5.0  2.0 -0.1912  2.2071 -2.2462  0.8479 Kp L ATLAS
 2.50  6250. -5.0  2.0 -0.2397  2.3501 -2.4017  0.9027 Kp L ATLAS
 3.00  6250. -5.0  2.0 -0.2775  2.4501 -2.4933  0.9262 Kp L ATLAS
 3.50  6250. -5.0  2.0 -0.3006  2.5049 -2.5274  0.9239 Kp L ATLAS
 4.00  6250. -5.0  2.0 -0.3028  2.5201 -2.5365  0.9179 Kp L ATLAS
 4.50  6250. -5.0  2.0 -0.2822  2.5278 -2.5903  0.9442 Kp L ATLAS
 5.00  6250. -5.0  2.0 -0.2520  2.4908 -2.5828  0.9447 Kp L ATLAS
 0.50  6500. -5.0  2.0  0.1619  0.4525  0.2146 -0.1724 Kp L ATLAS
 1.00  6500. -5.0  2.0  0.1923  0.3253  0.4013 -0.2626 Kp L ATLAS
 1.50  6500. -5.0  2.0  0.2050  0.2696  0.4701 -0.2908 Kp L ATLAS
 2.00  6500. -5.0  2.0 -0.1224  1.9562 -1.9362  0.7192 Kp L ATLAS
 2.50  6500. -5.0  2.0 -0.2199  2.3075 -2.3685  0.8856 Kp L ATLAS
 3.00  6500. -5.0  2.0 -0.2511  2.3651 -2.4034  0.8889 Kp L ATLAS
 3.50  6500. -5.0  2.0 -0.2889  2.4485 -2.4645  0.8985 Kp L ATLAS
 4.00  6500. -5.0  2.0 -0.2934  2.4508 -2.4464  0.8801 Kp L ATLAS
 4.50  6500. -5.0  2.0 -0.2842  2.4415 -2.4409  0.8738 Kp L ATLAS
 5.00  6500. -5.0  2.0 -0.2521  2.4136 -2.4533  0.8837 Kp L ATLAS
 0.50  6750. -5.0  2.0  0.1209  0.6561 -0.0483 -0.0766 Kp L ATLAS
 1.00  6750. -5.0  2.0  0.1600  0.5091  0.1370 -0.1544 Kp L ATLAS
 1.50  6750. -5.0  2.0  0.1885  0.3655  0.3543 -0.2597 Kp L ATLAS
 2.00  6750. -5.0  2.0  0.1937  0.3093  0.4338 -0.2937 Kp L ATLAS
 2.50  6750. -5.0  2.0 -0.1540  2.0870 -2.1137  0.7847 Kp L ATLAS
 3.00  6750. -5.0  2.0 -0.2452  2.3615 -2.4124  0.8883 Kp L ATLAS
 3.50  6750. -5.0  2.0 -0.2730  2.4027 -2.4249  0.8825 Kp L ATLAS
 4.00  6750. -5.0  2.0 -0.2819  2.4052 -2.4017  0.8629 Kp L ATLAS
 4.50  6750. -5.0  2.0 -0.2766  2.3831 -2.3644  0.8410 Kp L ATLAS
 5.00  6750. -5.0  2.0 -0.2593  2.3602 -2.3522  0.8343 Kp L ATLAS
 0.50  7000. -5.0  2.0  0.0710  0.9012 -0.3619  0.0360 Kp L ATLAS
 1.00  7000. -5.0  2.0  0.1261  0.7174 -0.1563 -0.0399 Kp L ATLAS
 1.50  7000. -5.0  2.0  0.1578  0.5644  0.0516 -0.1299 Kp L ATLAS
 2.00  7000. -5.0  2.0  0.1750  0.4304  0.2725 -0.2397 Kp L ATLAS
 2.50  7000. -5.0  2.0  0.1752  0.3719  0.3679 -0.2835 Kp L ATLAS
 3.00  7000. -5.0  2.0 -0.1799  2.1658 -2.2012  0.8075 Kp L ATLAS
 3.50  7000. -5.0  2.0 -0.2394  2.3236 -2.3556  0.8551 Kp L ATLAS
 4.00  7000. -5.0  2.0 -0.2602  2.3517 -2.3601  0.8483 Kp L ATLAS
 4.50  7000. -5.0  2.0 -0.2625  2.3339 -2.3168  0.8229 Kp L ATLAS
 5.00  7000. -5.0  2.0 -0.2526  2.3149 -2.2969  0.8110 Kp L ATLAS
 1.00  7250. -5.0  2.0  0.0954  0.9305 -0.4592  0.0755 Kp L ATLAS
 1.50  7250. -5.0  2.0  0.1394  0.7468 -0.2339 -0.0119 Kp L ATLAS
 2.00  7250. -5.0  2.0  0.1503  0.6324 -0.0552 -0.0938 Kp L ATLAS
 2.50  7250. -5.0  2.0  0.1589  0.5049  0.1744 -0.2108 Kp L ATLAS
 3.00  7250. -5.0  2.0  0.1565  0.4471  0.2747 -0.2577 Kp L ATLAS
 3.50  7250. -5.0  2.0 -0.1796  2.1821 -2.2340  0.8153 Kp L ATLAS
 4.00  7250. -5.0  2.0 -0.2243  2.2807 -2.3142  0.8346 Kp L ATLAS
 4.50  7250. -5.0  2.0 -0.2374  2.2760 -2.2729  0.8079 Kp L ATLAS
