 0.00  2300.  0.0  2.0  -0.11972941   0.09104404   0.11251063  -0.22968834  -0.40038078   0.23867041  -0.72417065   0.72145679   1.46549966   1.99503111   1.25533289   2.08340756  -0.21288167  -0.56383999  -0.98588585  -0.43117709  -0.53671971   0.30095359   0.29814537   0.25577802   0.32096723   0.37110954   0.30300530   0.30300530   0.33262892   0.01065386   0.00041040   0.00189043   0.00156701   0.00083093
 0.50  2300.  0.0  2.0  -0.49624051  -0.05703585   0.00611165  -0.11359532  -0.40172373   1.54097286  -0.14393174   0.76529363   0.94535916   2.65611051  -0.00648812   1.37256282  -0.13829840   0.04312479  -1.98055265  -0.13267007  -0.19205806   0.23079792   0.08093362   0.68811395   0.25990324   0.24973742   0.24973742   0.24973742   0.25366793   0.00624670   0.00031952   0.00232742   0.00006535   0.00097708
 1.00  2300.  0.0  2.0  -0.27437612  -0.02337627   0.33422959  -0.04130161  -0.22008930   0.72937985  -0.10576173   0.28928852   0.66461522   1.79890897   0.94778187   1.07640461   0.08659648   0.23923550  -0.92368736  -0.48457762   0.03094248   0.18233296   0.07889024   0.29013554   0.20839378   0.20839378   0.20530730   0.20839378   0.21163509   0.00461387   0.00003425   0.00117454   0.00002374   0.00008645
 1.50  2300.  0.0  2.0  -0.22129392  -0.07835031   0.07710809   0.01519335  -0.12157045   1.01587181   0.09000224   0.74606227   0.65008225   2.11126821   0.41264738   1.26450724  -0.25946419   0.41380327  -1.53873091  -0.27095886  -0.29914397   0.30901045  -0.12214193   0.51238975   0.15844610   0.15844610   0.15844610   0.15844610   0.16088339   0.00185615   0.00009921   0.00086909   0.00011313   0.00089764
 2.00  2300.  0.0  2.0  -0.28265435  -0.20911324   0.19124089   0.04708267   0.37857567   1.84659356   1.28173720   0.54690703   1.50759183   1.77634327  -0.74000101  -0.09852210   0.31473902  -0.82199472  -1.84239746   0.10233814  -0.00099358  -0.11737304   0.24751567   0.70460008   0.14661793   0.14075578   0.13413314   0.13413314   0.13627077   0.00026610   0.00006541   0.00050430   0.00099658   0.01353633
 2.50  2300.  0.0  2.0  -0.19421668  -0.18306078   0.18010672   0.04450870   0.46579935   2.05385534   1.49344177   0.62477632   1.51487137   1.54515604  -1.24231939  -0.39509947   0.17376447  -0.80596824  -1.61098461   0.32528082   0.07288815  -0.05941786   0.20855148   0.60347420   0.11906990   0.11258113   0.11258113   0.11258113   0.11346613   0.00009598   0.00003920   0.00017287   0.00041288   0.00931136
 3.00  2300.  0.0  2.0  -0.21544128  -0.27718570   0.28998801   0.05515572   0.26121754   2.15136402   1.45211754   0.14871445   1.21165328   1.79876020  -1.36364767  -0.14200303   0.71126534  -0.31400074  -1.67646290   0.37787115  -0.06901496  -0.24575150  -0.00287993   0.57824554   0.08462222   0.08462222   0.08462222   0.08462222   0.08592077   0.00031997   0.00065435   0.00079994   0.00010985   0.00207642
 3.50  2300.  0.0  2.0  -0.48193300  -0.16091195   0.28258909   0.02177910   0.14101932   2.34791570   0.86126228   0.08893807   0.97767166   1.83185732  -1.24284414   0.57234113   0.63647625   0.08666741  -1.53287603   0.29543847  -0.32352787  -0.16813302  -0.16936581   0.49192328   0.06549050   0.06788727   0.06788727   0.06788727   0.06788727   0.00147365   0.00048526   0.00042071   0.00017689   0.00079144
 4.00  2300.  0.0  2.0  -0.52236453  -0.22394542   0.40217947   0.06178198   0.04993324   1.78966008   0.97964672  -0.24663829   0.71453094   1.96536955  -0.33208833   0.36633406   0.88653873   0.45054843  -1.62660911  -0.02212212  -0.20032657  -0.22736483  -0.31406080   0.52870988   0.04836071   0.05158157   0.05158157   0.05158157   0.05158157   0.00173319   0.00067804   0.00074721   0.00061099   0.00096976
 4.50  2300.  0.0  2.0  -0.52042341  -0.06142304   0.59314410   0.15488811   0.08723025   1.32459741   0.70737990  -0.48825734   0.50964776   1.76981530   0.21098884   0.46783614   1.01926355   0.65772369  -1.38215986  -0.11171309  -0.18642524  -0.27913163  -0.40796041   0.43523843   0.03784625   0.04033648   0.04033648   0.04033648   0.04085790   0.00141643   0.00077286   0.00127934   0.00086286   0.00114128
 5.00  2300.  0.0  2.0  -0.41145585   0.06419587   0.39854822   0.02579656   0.18713794   1.16917137   0.47611949  -0.08439163   0.96346418   1.50715496   0.06963985   0.62935218   0.70073104   0.05495586  -1.12702107   0.07950138  -0.23269750  -0.19325829  -0.15436771   0.35020176   0.02874138   0.02916391   0.03121192   0.03121192   0.03121192   0.00075294   0.00018246   0.00203858   0.00031146   0.00139237
 5.50  2300.  0.0  2.0  -0.38868658   0.22386990   0.64505748   0.28464218   0.49875301   1.93847104   0.73002840  -0.00814397   0.57312288   0.70500429  -1.22590871  -0.10998062   0.07038425   0.21767488  -0.36223725   0.58199161   0.11288967   0.14097809  -0.17989495   0.08362797   0.02144881   0.02240325   0.02366003   0.02366003   0.02366003   0.00077746   0.00173409   0.00357469   0.00096611   0.00385548
 6.00  2300.  0.0  2.0  -0.14998145   0.29953445   0.66314483   0.22680274   0.52988901   1.85673359   0.73796052  -0.22670762   0.76927918   0.69647587  -1.21843655  -0.21329640   0.43660845  -0.00228947  -0.40417371   0.44463870   0.14511127  -0.03412634  -0.11357238   0.10291156   0.01641645   0.01700543   0.01832396   0.01863450   0.01832396   0.00186946   0.00254953   0.00375124   0.00135253   0.00484004
