 0.00  2300.  0.0  2.0  -0.06243710  -0.36734425  -0.44531882  -0.33506544  -0.50097873  -0.76975037   0.45765961   1.85223591   2.20083482   1.79241647   2.77236302   3.90443880   0.41185098  -0.83590088  -1.32856218  -0.83641189  -2.16805253  -3.45686038   0.14174410   0.22850099   0.41835973   0.34233748   0.74363957   1.27334734   0.30300530   0.33262892   0.33926600   0.30300530   0.33926600   0.30781994   0.00281732   0.00189432   0.00062328   0.00176927   0.00140832   0.00686506
 0.50  2300.  0.0  2.0   0.01620456  -0.44732580  -0.52499304  -0.15632089  -0.45061957  -0.39079139   0.13066506   2.76464941   3.38182186   1.09777043   2.73441659   2.68871771   0.78216787  -2.20631442  -3.05468788   0.00255979  -2.13524597  -2.15882354   0.00527120   0.84970828   1.16046296   0.01011058   0.71832943   0.82103898   0.24973742   0.25366793   0.25366793   0.24973742   0.27352809   0.25366793   0.00067099   0.00124805   0.00415285   0.00040096   0.00070138   0.00164762
 1.00  2300.  0.0  2.0   0.13278652  -0.15431496  -0.19936078  -0.09971924  -0.20438912  -0.11968981  -0.07808834   1.70545658   2.32040967   0.88577957   2.63043435   1.72808862   0.86869202  -0.98811035  -1.90182913   0.14171708  -2.37518389  -1.07091470   0.01806154   0.40715504   0.75483443   0.01045841   0.91711798   0.43009267   0.20530730   0.20839378   0.20839378   0.20839378   0.21163509   0.20839378   0.00024615   0.00081349   0.00286209   0.00004311   0.00393335   0.00101153
 1.50  2300.  0.0  2.0   0.10402726  -0.00450745   0.10410956  -0.07490769   0.14504530   0.05977966   0.16258124   1.64468345   1.76902079   1.15476391   1.94555129   1.60543184   0.71326421  -1.02510162  -1.43094267  -0.17855078  -1.78764375  -1.06673437  -0.03388202   0.37159272   0.55703331   0.05020986   0.69062355   0.39029703   0.15728610   0.15844610   0.15844610   0.15844610   0.16088339   0.15844610   0.00045127   0.00171661   0.00596049   0.00006513   0.00856781   0.00246685
 2.00  2300.  0.0  2.0   0.04206846   0.27784732   0.40091053   0.08582571   0.01314614   0.33565192   0.78236524   1.74693712   1.70972596   1.69000116   2.18199188   1.65636848   0.20265261  -1.62427410  -1.81778317  -1.19504463  -2.01767984  -1.59418337  -0.06558924   0.60733441   0.72460888   0.40384340   0.69952074   0.60910182   0.13413314   0.13627077   0.13627077   0.13413314   0.14780793   0.13627077   0.00032510   0.00977032   0.01666532   0.00222772   0.00153818   0.01057845
 2.50  2300.  0.0  2.0   0.03424113   0.34337118   0.49307060   0.08216769   0.76843877   0.38637497   0.85918637   1.58889549   1.36442942   1.65777089   0.98019618   1.49396823   0.09467983  -1.45971192  -1.38754474  -1.11850631  -1.24786842  -1.40374682  -0.04164469   0.52167225   0.53176622   0.34074670   0.52535246   0.51432036   0.11258113   0.11346613   0.11346613   0.11258113   0.11346613   0.11346613   0.00015616   0.00645913   0.01125270   0.00092799   0.02225254   0.00668469
 3.00  2300.  0.0  2.0   0.10649805   0.15513307   0.35704153   0.07704236   0.59846605   0.22738420   0.27157449   1.76885615   1.34273904   1.42317104   1.01178822   1.60140219   0.94583635  -1.43309344  -1.11533209  -0.72673728  -1.00039669  -1.30051260  -0.40096292   0.46259420   0.37816074   0.17368208   0.36783865   0.42471837   0.08462222   0.08592077   0.08592077   0.08462222   0.08592077   0.08592077   0.00089972   0.00123340   0.00312011   0.00016171   0.00611158   0.00164396
 3.50  2300.  0.0  2.0   0.29067928   0.10534352   0.28415922   0.05681711   0.37255311   0.17428738  -0.22298577   1.56931179   1.19802709   1.14050209   1.28694514   1.48007245   1.23547347  -1.00215670  -0.75919316  -0.27120308  -1.08741267  -1.01752292  -0.40921846   0.25733179   0.20914018  -0.01713348   0.36154107   0.29022326   0.06788727   0.06788727   0.06788727   0.06788727   0.06788727   0.06788727   0.00096400   0.00043064   0.00071887   0.00016125   0.00133638   0.00061755
 4.00  2300.  0.0  2.0   0.19426022   0.03783036   0.21859050   0.09867704   0.23914721   0.11567105   0.10924242   1.62157561   1.25276825   0.99787783   1.43925378   1.52520021   0.73016388  -0.97007605  -0.78032536  -0.14784366  -1.10488498  -1.03023994  -0.18133393   0.23225139   0.22921643  -0.04497748   0.34401625   0.30379676   0.05158157   0.05158157   0.05158157   0.05158157   0.05158157   0.05158157   0.00026020   0.00047993   0.00105004   0.00054096   0.00148510   0.00119837
 4.50  2300.  0.0  2.0   0.31300157   0.05089121   0.15773835   0.21797535   0.27368401   0.12226921   0.09442170   1.65015420   1.38305353   0.70786978   1.33124687   1.47655853   0.56050023  -1.07554186  -0.92180055   0.12408333  -1.00949137  -1.00571708  -0.11390469   0.29027379   0.28847646  -0.14025259   0.32441682   0.30853384   0.04033648   0.04085790   0.04085790   0.04033648   0.04033648   0.04085790   0.00088791   0.00083961   0.00123261   0.00093658   0.00151528   0.00108986
