 2.00  5750. -5.0  2.0   0.3784    0.2411    0.0071
 2.50  5750. -5.0  2.0   0.3561    0.2630    0.0076
 3.00  5750. -5.0  2.0   0.3352    0.2834    0.0080
 3.50  5750. -5.0  2.0   0.3137    0.3031    0.0085
 4.00  5750. -5.0  2.0   0.2951    0.3189    0.0095
 4.50  5750. -5.0  2.0   0.2707    0.3365    0.0124
 5.00  5750. -5.0  2.0   0.2404    0.3568    0.0168
 0.00  6000. -5.0  2.0   0.5749    0.0674    0.0002
 0.50  6000. -5.0  2.0   0.5720    0.0712    0.0001
 1.00  6000. -5.0  2.0   0.4196    0.1995    0.0039
 1.50  6000. -5.0  2.0   0.3776    0.2359    0.0069
 2.00  6000. -5.0  2.0   0.3648    0.2486    0.0075
 2.50  6000. -5.0  2.0   0.3500    0.2631    0.0075
 3.00  6000. -5.0  2.0   0.3335    0.2787    0.0076
 3.50  6000. -5.0  2.0   0.3152    0.2959    0.0078
 4.00  6000. -5.0  2.0   0.3022    0.3079    0.0077
 4.50  6000. -5.0  2.0   0.2837    0.3219    0.0091
 5.00  6000. -5.0  2.0   0.2571    0.3412    0.0120
 0.50  6250. -5.0  2.0   0.5447    0.0973    0.0001
 1.00  6250. -5.0  2.0   0.5418    0.0991    0.0001
 1.50  6250. -5.0  2.0   0.3822    0.2300    0.0052
 2.00  6250. -5.0  2.0   0.3489    0.2586    0.0071
 2.50  6250. -5.0  2.0   0.3394    0.2674    0.0072
 3.00  6250. -5.0  2.0   0.3277    0.2782    0.0071
 3.50  6250. -5.0  2.0   0.3149    0.2903    0.0069
 4.00  6250. -5.0  2.0   0.3013    0.3024    0.0070
 4.50  6250. -5.0  2.0   0.2836    0.3163    0.0082
 5.00  6250. -5.0  2.0   0.2687    0.3274    0.0092
 0.50  6500. -5.0  2.0   0.5247    0.1153    0.0002
 1.00  6500. -5.0  2.0   0.5133    0.1254    0.0001
 1.50  6500. -5.0  2.0   0.5102    0.1254    0.0001
 2.00  6500. -5.0  2.0   0.3479    0.2547    0.0063
 2.50  6500. -5.0  2.0   0.3206    0.2775    0.0076
 3.00  6500. -5.0  2.0   0.3172    0.2808    0.0071
 3.50  6500. -5.0  2.0   0.3091    0.2888    0.0067
 4.00  6500. -5.0  2.0   0.2994    0.2976    0.0065
