 3.00  2300.  0.0   0.49882  0.39529  0.08490  0.02036
 3.50  2300.  0.0   0.54372  0.33056  0.06635  0.01120
 4.00  2300.  0.0   0.56340  0.30272  0.05016  0.00869
 4.50  2300.  0.0   0.57614  0.27909  0.03979  0.00726
 5.00  2300.  0.0   0.59799  0.25839  0.02995  0.00558
 5.50  2300.  0.0   0.54665  0.27790  0.02257  0.01172
 6.00  2300.  0.0   0.51816  0.30176  0.01723  0.01304
 3.00  2400.  0.0   0.44556  0.44841  0.08306  0.03266
 3.50  2400.  0.0   0.50141  0.38669  0.06588  0.01724
 4.00  2400.  0.0   0.55539  0.32872  0.04944  0.00983
 4.50  2400.  0.0   0.57532  0.30488  0.03914  0.00758
 5.00  2400.  0.0   0.57905  0.29657  0.02971  0.00567
 5.50  2400.  0.0   0.57612  0.29035  0.02251  0.00675
 6.00  2400.  0.0   0.54562  0.30254  0.01731  0.00927
 3.00  2500.  0.0   0.41159  0.44601  0.09384  0.02227
 3.50  2500.  0.0   0.44443  0.43358  0.06454  0.02471
 4.00  2500.  0.0   0.50136  0.38405  0.04841  0.01598
 4.50  2500.  0.0   0.54969  0.33996  0.03870  0.01026
 5.00  2500.  0.0   0.58042  0.31238  0.02931  0.00684
 5.50  2500.  0.0   0.55681  0.32419  0.02243  0.00619
 6.00  2500.  0.0   0.54554  0.31982  0.01701  0.00844
 3.00  2600.  0.0   0.37235  0.46076  0.09703  0.02743
 3.50  2600.  0.0   0.40029  0.44672  0.07513  0.02354
 4.00  2600.  0.0   0.43694  0.43499  0.04844  0.02483
 4.50  2600.  0.0   0.49946  0.38943  0.03796  0.01453
 5.00  2600.  0.0   0.53607  0.36121  0.02907  0.01009
 5.50  2600.  0.0   0.56094  0.33500  0.02209  0.00705
 6.00  2600.  0.0   0.57482  0.31166  0.01678  0.00604
 3.00  2700.  0.0   0.35925  0.45185  0.10017  0.02665
 3.50  2700.  0.0   0.36477  0.45137  0.07749  0.02561
 4.00  2700.  0.0   0.39270  0.44568  0.05585  0.02449
 4.50  2700.  0.0   0.43338  0.42851  0.04290  0.02083
 5.00  2700.  0.0   0.48650  0.39933  0.02856  0.01622
 5.50  2700.  0.0   0.52598  0.36855  0.02176  0.01162
 6.00  2700.  0.0   0.54995  0.34454  0.01660  0.00874
 3.00  2800.  0.0   0.35902  0.44936  0.10354  0.03020
 3.50  2800.  0.0   0.34562  0.44909  0.08048  0.02698
 4.00  2800.  0.0   0.35600  0.45178  0.05946  0.02733
 4.50  2800.  0.0   0.38466  0.44644  0.04481  0.02577
 5.00  2800.  0.0   0.42675  0.43019  0.03217  0.02217
 5.50  2800.  0.0   0.46425  0.41011  0.02130  0.01956
 3.00  2900.  0.0   0.38707  0.42128  0.10470  0.02488
 3.50  2900.  0.0   0.34487  0.43959  0.08098  0.02694
 4.00  2900.  0.0   0.33517  0.44907  0.05925  0.02845
 4.50  2900.  0.0   0.34681  0.45462  0.04381  0.02974
 5.00  2900.  0.0   0.37693  0.44575  0.03228  0.02750
 5.50  2900.  0.0   0.41873  0.42710  0.02432  0.02415
 6.00  2900.  0.0   0.45786  0.40849  0.01780  0.01969
 3.00  3000.  0.0   0.43117  0.38867  0.10243  0.02181
 3.50  3000.  0.0   0.36327  0.42009  0.07929  0.02440
 4.00  3000.  0.0   0.32747  0.44391  0.05811  0.02942
 4.50  3000.  0.0   0.32255  0.45548  0.04480  0.03129
 5.50  3000.  0.0   0.37173  0.44124  0.02448  0.02812
 6.00  3000.  0.0   0.40980  0.42253  0.01771  0.02469
 3.00  3100.  0.0   0.49045  0.35211  0.10290  0.02067
 3.50  3100.  0.0   0.39507  0.40051  0.07994  0.02285
 4.00  3100.  0.0   0.33620  0.43134  0.05989  0.02720
